type,id,x,y,connected_bat
house,43,48,4,20
house,20,47,6,20
house,78,50,3,20
house,64,45,1,64
house,143,37,6,143
house,58,47,16,58
house,84,43,14,84
house,126,34,8,101
house,13,33,7,101
house,55,30,4,134
house,12,33,0,12
house,145,39,14,84
house,48,30,2,134
house,109,28,3,134
house,82,32,9,101
house,40,27,3,134
house,101,33,11,101
house,134,29,7,134
house,72,45,24,66
house,100,39,19,15
house,124,38,18,15
house,80,25,5,134
house,37,30,12,112
house,66,44,27,66
house,114,38,21,15
house,23,23,1,23
house,21,38,22,15
house,121,31,15,71
house,120,20,3,52
house,6,19,4,52
house,137,19,3,52
house,129,38,24,15
house,39,37,23,15
house,60,30,16,71
house,125,27,13,112
house,71,31,18,71
house,112,28,15,112
house,41,23,10,147
house,32,22,10,147
house,127,16,3,52
house,108,44,33,46
house,46,43,32,46
house,52,15,4,52
house,30,50,35,30
house,118,21,11,147
house,15,37,28,15
house,144,33,24,130
house,10,20,11,147
house,136,42,34,46
house,142,22,14,147
house,113,46,38,113
house,86,29,22,138
house,11,19,12,147
house,28,12,5,28
house,45,11,4,28
house,22,47,40,113
house,102,24,18,138
house,44,20,14,147
house,5,17,11,147
house,50,41,36,93
house,130,30,25,130
house,18,28,23,138
house,19,27,22,138
house,147,22,17,147
house,85,43,39,50
house,117,39,35,93
house,69,46,42,113
house,54,8,3,28
house,76,18,15,147
house,2,49,44,2
house,123,42,40,50
house,93,37,35,93
house,1,24,22,138
house,7,8,6,28
house,74,40,39,50
house,56,11,10,56
house,138,24,24,138
house,51,4,3,133
house,97,30,31,106
house,106,29,30,106
house,148,26,27,148
house,133,4,5,133
house,67,48,50,98
house,98,47,50,98
house,131,50,49,98
house,140,4,0,133
house,99,39,43,99
house,33,26,30,148
house,73,5,9,73
house,110,3,7,73
house,103,42,47,103
house,135,36,41,29
house,132,24,30,148
house,87,21,27,83
house,75,3,9,73
house,16,2,8,73
house,25,30,37,115
house,38,21,29,83
house,68,5,13,35
house,49,28,37,115
house,53,37,47,0
house,29,31,41,29
house,83,18,28,83
house,35,5,15,35
house,70,2,12,35
house,115,26,37,115
house,139,24,36,115
house,0,34,47,0
house,128,20,34,104
house,141,19,33,104
house,104,18,32,104
house,42,13,27,149
house,122,9,23,111
house,81,25,40,115
house,88,18,33,104
house,77,13,28,149
house,107,34,50,107
house,14,21,37,104
house,63,0,16,59
house,149,10,27,149
house,59,1,18,59
house,111,7,25,111
house,3,19,38,104
house,24,18,37,104
house,61,21,42,61
house,92,19,40,61
house,9,16,38,61
house,91,21,44,4
house,119,1,24,119
house,4,22,46,4
house,17,23,48,4
house,90,16,41,61
house,146,21,48,4
house,89,11,38,89
house,8,9,37,89
house,36,21,50,4
house,34,15,44,34
house,96,10,39,89
house,26,4,33,26
house,116,15,46,34
house,27,16,48,34
house,105,5,37,89
house,57,4,38,89
house,95,0,34,26
house,79,15,50,34
house,65,9,44,65
house,94,10,47,65
house,31,9,48,65
house,62,9,50,65
house,47,2,50,47
battery,149,12,27,149
battery,111,8,24,111
battery,83,20,28,83
battery,119,1,24,119
battery,89,8,38,89
battery,26,2,34,26
battery,104,19,35,104
battery,148,25,29,148
battery,56,11,10,56
battery,35,4,13,35
battery,59,0,17,59
battery,61,18,40,61
battery,65,9,47,65
battery,138,26,22,138
battery,106,30,30,106
battery,28,10,4,28
battery,34,15,47,34
battery,130,32,24,130
battery,147,20,12,147
battery,73,3,8,73
battery,115,27,37,115
battery,133,4,3,133
battery,47,2,50,47
battery,4,22,47,4
battery,71,31,16,71
battery,112,28,13,112
battery,52,18,3,52
battery,15,38,22,15
battery,66,44,26,66
battery,93,39,35,93
battery,29,34,41,29
battery,46,43,33,46
battery,23,23,1,23
battery,101,33,9,101
battery,134,28,4,134
battery,50,42,39,50
battery,84,41,14,84
battery,99,39,43,99
battery,0,36,47,0
battery,107,34,50,107
battery,30,50,35,30
battery,58,47,16,58
battery,143,37,6,143
battery,113,46,40,113
battery,12,33,0,12
battery,103,42,47,103
battery,2,49,44,2
battery,98,48,50,98
battery,64,45,1,64
battery,20,48,4,20
